"id","boundary_id","x","y"
167073,1,67,189
150697,1,48,378
75428,1,1302,1270
153868,2,2269,313
148518,2,2255,421
159637,1,52,211
61958,1,978,1346
87011,1,1474,1199
108393,1,104,848
4438,1,881,1970
110555,1,173,835
136337,1,121,659
13423,1,1090,1953
159055,1,718,214
53510,1,1429,1404
59959,1,858,1353
116248,2,2339,799
77042,1,831,1260
177325,1,102,141
1713,1,871,1979
38116,1,1165,1660
10283,1,908,1959
2582,1,1322,1976
117058,1,289,793
168694,2,2263,184
148853,1,32,414
17987,1,692,1925
184127,1,424,109
76013,1,814,1266
164279,2,2262,198
79486,1,1323,1244
132490,1,520,706
67670,1,1522,1315
13517,1,1184,1953
136948,1,98,648
27993,2,2476,1812
195416,1,1292,58
194726,1,1286,66
77556,1,1323,1257
42889,1,1238,1580
119328,1,311,778
189028,1,331,88
35738,1,1120,1699
132972,1,570,704
47207,2,2437,1507
63453,1,1082,1340
20711,1,714,1880
100983,1,808,956
192719,1,320,76
190004,1,317,85
166946,1,849,190
146379,2,2270,467
1722,1,880,1979
195916,1,1294,52
19195,2,2474,1903
61689,1,956,1347
63619,1,1062,1339
197548,2,2270,33
181252,1,419,123
192393,1,287,77
28925,1,957,1799
45692,2,2426,1532
35046,2,2460,1711
18107,1,698,1923
162768,1,56,201
154433,2,2271,301
111721,1,219,828
71371,1,1169,1292
96716,2,2386,1026
84584,1,1444,1211
75909,1,1290,1267
169149,2,2270,182
199693,2,2246,9
78074,2,2403,1254
42475,1,1246,1587
134539,2,2298,693
35654,1,1094,1700
108986,1,204,845
182474,1,392,117
4360,1,803,1970
94443,2,2392,1073
26211,1,884,1831
57334,1,918,1363
86273,1,1502,1203
172200,1,534,167
13946,1,1170,1952
153885,1,56,312
96325,1,892,1033
80335,2,2409,1239
86252,1,1481,1203
32274,1,1045,1751
126051,1,133,736
75926,1,1307,1267
10653,1,1278,1959
190371,1,363,84
9557,1,1311,1961
161359,1,54,205
135933,1,103,666
159239,1,683,213
67010,1,1111,1319
91806,1,904,1130
119899,1,119,774
13761,1,985,1952
102341,1,807,928
116930,1,310,794
97240,1,882,1017
193669,1,1300,73
80347,1,828,1238
79994,1,1391,1241
9573,1,1327,1961
71802,1,1528,1290
153429,2,2254,322
127973,1,115,725
26768,1,951,1826
176758,1,1010,144
54319,2,2424,1393
26471,1,942,1829
87264,1,1543,1198
139210,2,2282,609
23111,1,832,1858
119027,1,119,780
103613,2,2393,904
83671,2,2412,1217
54707,2,2415,1387
191048,1,1268,82
59968,1,867,1353
138099,1,85,628
167707,1,540,187
118737,1,306,782
70441,1,814,1297
66763,1,1530,1321
88367,1,1481,1191
120642,1,328,769
83004,1,1564,1221
119271,2,2323,779
83427,1,1429,1218
110868,1,156,833
84717,1,1410,1210
114104,1,765,813
186716,1,1217,96
12329,1,723,1955
21622,2,2488,1871
5865,1,1329,1967
87258,1,1537,1198
66229,1,1103,1324
98281,2,2404,1002
49902,2,2425,1461
42664,2,2431,1584
83555,1,1399,1217
121072,2,2332,767
39685,2,2442,1634
124191,1,372,747
40828,1,1202,1614
169353,1,954,181
122584,1,403,757
6830,1,999,1965
129324,1,628,719
107598,1,122,853
51494,1,1369,1434
12352,1,746,1955
76922,1,1308,1261
66000,1,818,1325
179235,2,2270,133
79087,1,1377,1247
30274,1,1002,1780
100522,1,831,965
185447,2,2280,103
33414,1,1051,1735
71453,1,1529,1292
153712,2,2258,316
41552,1,1218,1602
195786,1,1325,54
13102,1,1217,1954
124085,1,671,748
70384,1,1536,1298
24802,1,811,1844
190954,1,333,82
125517,1,118,739
192275,1,169,77
195200,2,2253,61
34544,2,2465,1719
106410,2,2356,862
156136,1,49,264
70293,1,1149,1298
33981,1,1073,1727
8880,1,1221,1962
69647,1,1147,1302
103301,2,2393,910
175525,1,499,150
114158,2,2359,813
80612,2,2402,1237
67942,1,1129,1313
107831,1,795,852
28990,2,2478,1799
66146,2,2416,1325
157554,1,57,235
35976,1,1125,1695
82919,1,852,1221
163783,1,804,199
94275,2,2408,1077
179308,1,436,132
96157,2,2404,1037
87303,1,852,1197
150336,1,39,385
182266,1,133,118
77575,1,1342,1257
80751,2,2396,1236
61075,1,822,1349
128919,1,637,721
168023,1,593,186
155835,2,2259,271
116187,1,310,799
66920,1,1531,1320
71410,1,1208,1292
125247,1,646,741
196402,1,1325,46
21369,1,767,1873
24084,1,825,1850
15923,1,1283,1947
32503,1,1058,1748
15655,1,737,1947
194866,2,2275,65
9551,1,1305,1961
156263,2,2273,262
46587,1,1314,1517
294,2,2490,1992
140500,1,63,584
26614,1,890,1827
36114,2,2442,1693
114719,1,765,809
42965,1,1253,1579
176935,1,463,143
165850,1,579,193
134541,2,2300,693
21189,1,774,1875
170995,1,561,173
69032,1,1143,1306
17306,2,2481,1937
39699,1,1167,1633
4594,1,1037,1970
46791,2,2439,1514
123120,1,713,754
42794,2,2436,1582
69132,2,2415,1306
78264,1,1302,1252
51031,1,1373,1442
199271,2,2258,14
196939,2,2256,40
117819,1,295,788
29354,2,2463,1794
70283,1,1139,1298
26558,1,927,1828
168226,1,531,185
196739,1,1342,42
68393,1,1118,1310
139583,1,61,602
29873,1,990,1786
55334,1,1445,1377
33884,2,2455,1729
123922,1,672,749
22772,2,2481,1861
184976,1,1177,105
161110,1,657,206
272,1,1358,1992
131686,2,2298,710
57211,2,2415,1364
713,1,879,1985
33818,2,2459,1730
25833,1,897,1835
91083,1,886,1145
141661,1,55,561
65993,1,811,1325
30136,1,994,1782
167542,1,844,188
124957,1,705,743
21523,1,725,1871
132324,1,574,707
110261,1,205,837
141653,1,47,561
121048,1,740,767
83017,1,1577,1221
102841,1,815,918
159275,1,719,213
101967,1,818,936
94643,2,2408,1069
120086,1,361,773
151220,2,2266,368
2991,1,810,1974
20380,2,2471,1885
63966,1,1039,1337
116845,2,2333,795
61834,2,2411,1347
81450,1,1407,1231
21267,1,763,1874
180372,1,431,127
82404,1,1571,1225
83422,1,1424,1218
26733,1,916,1826
62264,1,1023,1345
109466,1,202,842
189042,1,345,88
27983,2,2466,1812
27995,2,2478,1812
11054,1,1145,1958
38850,1,1183,1648
124953,1,701,743
120424,1,742,771
21709,2,2472,1870
180451,1,1118,127
12333,1,727,1955
4519,1,962,1970
139464,1,58,604
174861,1,74,153
29821,1,1003,1787
17918,2,2489,1927
73550,1,1200,1280
155494,1,51,278
162050,1,57,203
4696,1,742,1969
1575,1,1339,1980
22850,1,817,1860
59180,1,958,1356
53775,1,1412,1400
94644,1,890,1068
173406,1,1002,161
79864,1,1577,1242
39083,1,1179,1644
33645,1,1078,1732
133033,2,2316,704
166996,1,899,190
165783,2,2284,194
130438,1,638,715
